x,y,z
1172.65,2132.55,1367
1170.29,2134.09,1368
1167.92,2135.64,1369
1165.55,2137.19,1370
1163.18,2138.76,1371
1160.8,2140.33,1372
1158.42,2141.91,1373
1156.03,2143.5,1374
1153.65,2145.09,1375
1151.26,2146.7,1376
1148.86,2148.31,1377
1146.46,2149.93,1378
1144.06,2151.55,1379
1141.66,2153.19,1380
1139.25,2154.83,1381
1136.83,2156.48,1382
1134.42,2158.14,1383
1132,2159.81,1384
1129.57,2161.48,1385
1127.15,2163.16,1386
1124.72,2164.86,1387
1122.28,2166.56,1388
1119.85,2168.26,1389
1117.4,2169.98,1390
1114.96,2171.7,1391
1112.51,2173.44,1392
1110.06,2175.18,1393
1107.6,2176.93,1394
1105.14,2178.68,1395
1102.68,2180.45,1396
1100.21,2182.23,1397
1097.74,2184.01,1398
1095.26,2185.8,1399
1092.78,2187.6,1400
1090.3,2189.41,1401
1087.81,2191.23,1402
1085.32,2193.06,1403
1082.83,2194.89,1404
1080.33,2196.74,1405
1077.83,2198.59,1406
1075.33,2200.46,1407
1072.82,2202.33,1408
1070.3,2204.21,1409
1067.79,2206.1,1410
1065.26,2208,1411
1062.74,2209.91,1412
1060.21,2211.82,1413
1057.68,2213.75,1414
1055.14,2215.69,1415
1052.6,2217.63,1416
1050.06,2219.59,1417
1047.51,2221.55,1418
1044.96,2223.52,1419
1042.4,2225.51,1420
1039.84,2227.5,1421
1037.27,2229.5,1422
1034.7,2231.51,1423
1032.13,2233.53,1424
1029.56,2235.57,1425
1026.97,2237.61,1426
1024.39,2239.66,1427
1021.8,2241.72,1428
1019.21,2243.79,1429
1016.61,2245.87,1430
1014.01,2247.96,1431
1011.4,2250.06,1432
1008.79,2252.17,1433
1006.18,2254.3,1434
1003.56,2256.43,1435
1000.94,2258.57,1436
998.311,2260.72,1437
995.68,2262.88,1438
993.045,2265.06,1439
990.406,2267.24,1440
987.762,2269.43,1441
985.114,2271.64,1442
982.461,2273.85,1443
979.805,2276.08,1444
977.143,2278.32,1445
974.478,2280.57,1446
971.808,2282.82,1447
969.134,2285.09,1448
966.455,2287.37,1449
963.772,2289.67,1450
961.085,2291.97,1451
958.393,2294.28,1452
955.696,2296.61,1453
952.995,2298.94,1454
950.29,2301.29,1455
947.58,2303.65,1456
944.865,2306.02,1457
942.146,2308.4,1458
939.423,2310.8,1459
936.694,2313.2,1460
933.961,2315.62,1461
931.224,2318.05,1462
928.482,2320.49,1463
925.735,2322.94,1464
922.983,2325.41,1465
920.227,2327.88,1466
917.466,2330.37,1467
914.701,2332.87,1468
911.93,2335.38,1469
909.155,2337.91,1470
906.375,2340.45,1471
903.59,2343,1472
900.8,2345.56,1473
898.006,2348.13,1474
895.206,2350.72,1475
892.402,2353.32,1476
889.593,2355.94,1477
886.779,2358.56,1478
883.96,2361.2,1479
881.136,2363.85,1480
878.307,2366.52,1481
875.473,2369.2,1482
872.633,2371.89,1483
869.789,2374.59,1484
866.94,2377.31,1485
864.086,2380.04,1486
861.226,2382.79,1487
858.362,2385.55,1488
855.492,2388.32,1489
852.617,2391.1,1490
849.737,2393.9,1491
846.851,2396.72,1492
843.961,2399.54,1493
841.065,2402.39,1494
838.163,2405.24,1495
835.257,2408.11,1496
832.345,2411,1497
829.428,2413.9,1498
826.505,2416.81,1499
823.577,2419.74,1500
820.643,2422.68,1501
817.704,2425.64,1502
814.759,2428.61,1503
811.809,2431.6,1504
808.854,2434.6,1505
805.892,2437.62,1506
802.926,2440.65,1507
799.953,2443.7,1508
796.975,2446.76,1509
793.991,2449.84,1510
791.002,2452.94,1511
788.006,2456.05,1512
785.005,2459.17,1513
781.998,2462.32,1514
778.986,2465.47,1515
775.967,2468.65,1516
772.943,2471.84,1517
769.912,2475.05,1518
766.876,2478.27,1519
763.834,2481.51,1520
760.786,2484.76,1521
757.731,2488.04,1522
754.671,2491.33,1523
751.604,2494.63,1524
748.532,2497.96,1525
745.453,2501.3,1526
742.368,2504.66,1527
739.277,2508.03,1528
736.18,2511.43,1529
733.076,2514.84,1530
729.966,2518.27,1531
726.849,2521.71,1532
723.727,2525.18,1533
720.597,2528.66,1534
717.462,2532.16,1535
714.32,2535.68,1536
711.171,2539.22,1537
708.016,2542.77,1538
704.854,2546.35,1539
701.685,2549.94,1540
698.51,2553.56,1541
695.328,2557.19,1542
692.139,2560.84,1543
688.944,2564.51,1544
685.742,2568.2,1545
682.532,2571.91,1546
679.316,2575.64,1547
676.093,2579.39,1548
672.863,2583.16,1549
669.626,2586.95,1550
666.382,2590.76,1551
663.13,2594.59,1552
659.872,2598.44,1553
656.606,2602.32,1554
653.333,2606.21,1555
650.053,2610.13,1556
646.766,2614.06,1557
643.471,2618.02,1558
640.168,2622,1559
636.858,2626,1560
633.541,2630.02,1561
630.216,2634.07,1562
626.883,2638.13,1563
623.543,2642.22,1564
620.195,2646.34,1565
616.84,2650.47,1566
613.476,2654.63,1567
610.105,2658.81,1568
606.725,2663.02,1569
603.338,2667.24,1570
599.943,2671.5,1571
596.539,2675.77,1572
593.128,2680.07,1573
589.708,2684.39,1574
586.28,2688.74,1575
582.844,2693.12,1576
579.399,2697.51,1577
575.946,2701.94,1578
572.484,2706.38,1579
569.014,2710.86,1580
565.536,2715.36,1581
562.048,2719.88,1582
558.552,2724.43,1583
555.048,2729.01,1584
