simtime, targetX, targetY,  targetZ, currentX, currentY, currentZ
0.25,2004.18,1077.86,1105,2647.24,523.81,1106
0.5,2004.18,1077.86,1105,2646.97,524.039,1106
0.75,2004.18,1077.86,1105,2646.97,524.039,1106
1,2004.18,1077.86,1105,2646.71,524.268,1106
1.25,2004.18,1077.86,1105,2646.71,524.268,1106
1.5,2004.18,1077.86,1105,2646.44,524.496,1106
1.75,2004.18,1077.86,1105,2646.44,524.496,1106
2,2004.18,1077.86,1105,2646.18,524.725,1106
2.25,2004.18,1077.86,1105,2646.18,524.725,1106
2.5,2004.18,1077.86,1105,2645.91,524.954,1106
2.75,2004.18,1077.86,1105,2645.91,524.954,1106
3,2004.18,1077.86,1105,2645.65,525.183,1106
3.25,2004.18,1077.86,1105,2645.65,525.183,1106
3.5,2004.18,1077.86,1105,2645.38,525.412,1106
3.75,2004.18,1077.86,1105,2645.38,525.412,1106
4,2004.18,1077.86,1105,2645.12,525.641,1106
4.25,2004.18,1077.86,1105,2645.12,525.641,1106
4.5,2004.18,1077.86,1105,2644.85,525.869,1106
4.75,2004.18,1077.86,1105,2644.85,525.869,1106
5,2004.18,1077.86,1105,2644.58,526.098,1106
5.25,2004.18,1077.86,1105,2644.58,526.098,1106
5.5,2004.18,1077.86,1105,2644.32,526.327,1106
5.75,2004.18,1077.86,1105,2644.32,526.327,1106
6,2004.18,1077.86,1105,2644.05,526.556,1106
6.25,2004.18,1077.86,1105,2644.05,526.556,1106
6.5,2004.18,1077.86,1105,2643.79,526.785,1105.99
6.75,2004.18,1077.86,1105,2643.79,526.785,1105.99
7,2004.18,1077.86,1105,2643.52,527.013,1105.99
7.25,2004.18,1077.86,1105,2643.52,527.013,1105.99
7.5,2004.18,1077.86,1105,2643.26,527.242,1105.99
7.75,2004.18,1077.86,1105,2643.26,527.242,1105.99
8,2004.18,1077.86,1105,2642.99,527.471,1105.99
8.25,2004.18,1077.86,1105,2642.99,527.471,1105.99
8.5,2004.18,1077.86,1105,2642.73,527.7,1105.99
8.75,2004.18,1077.86,1105,2642.73,527.7,1105.99
9,2004.18,1077.86,1105,2642.46,527.929,1105.99
9.25,2004.18,1077.86,1105,2642.46,527.929,1105.99
9.5,2004.18,1077.86,1105,2642.19,528.158,1105.99
9.75,2004.18,1077.86,1105,2642.19,528.158,1105.99
10,2004.18,1077.86,1105,2641.93,528.386,1105.99
10.25,2004.18,1077.86,1105,2641.93,528.386,1105.99
10.5,2004.18,1077.86,1105,2641.66,528.615,1105.99
10.75,2004.18,1077.86,1105,2641.66,528.615,1105.99
11,2004.18,1077.86,1105,2641.4,528.844,1105.99
11.25,2004.18,1077.86,1105,2641.4,528.844,1105.99
11.5,2004.18,1077.86,1105,2641.13,529.073,1105.99
11.75,2004.18,1077.86,1105,2641.13,529.073,1105.99
12,2004.18,1077.86,1105,2640.87,529.302,1105.99
12.25,2004.18,1077.86,1105,2640.87,529.302,1105.99
12.5,2004.18,1077.86,1105,2640.6,529.53,1105.99
12.75,2004.18,1077.86,1105,2640.6,529.53,1105.99
13,2004.18,1077.86,1105,2640.33,529.759,1105.99
13.25,2004.18,1077.86,1105,2640.33,529.759,1105.99
13.5,2004.18,1077.86,1105,2640.07,529.988,1105.99
13.75,2004.18,1077.86,1105,2640.07,529.988,1105.99
14,2004.18,1077.86,1105,2639.8,530.217,1105.99
14.25,2004.18,1077.86,1105,2639.8,530.217,1105.99
14.5,2004.18,1077.86,1105,2639.54,530.446,1105.99
14.75,2004.18,1077.86,1105,2639.54,530.446,1105.99
15,2004.18,1077.86,1105,2639.27,530.675,1105.99
15.25,2004.18,1077.86,1105,2639.27,530.675,1105.99
15.5,2004.18,1077.86,1105,2639.01,530.903,1105.99
15.75,2004.18,1077.86,1105,2639.01,530.903,1105.99
16,2004.18,1077.86,1105,2638.74,531.132,1105.99
16.25,2004.18,1077.86,1105,2638.74,531.132,1105.99
16.5,2004.18,1077.86,1105,2638.48,531.361,1105.99
16.75,2004.18,1077.86,1105,2638.48,531.361,1105.99
17,2004.18,1077.86,1105,2638.21,531.59,1105.99
17.25,2004.18,1077.86,1105,2638.21,531.59,1105.99
17.5,2004.18,1077.86,1105,2637.94,531.819,1105.99
17.75,2004.18,1077.86,1105,2637.94,531.819,1105.99
18,2004.18,1077.86,1105,2637.68,532.047,1105.99
18.25,2004.18,1077.86,1105,2637.68,532.047,1105.99
18.5,2004.18,1077.86,1105,2637.41,532.276,1105.98
18.75,2004.18,1077.86,1105,2637.41,532.276,1105.98
19,2004.18,1077.86,1105,2637.15,532.505,1105.98
19.25,2004.18,1077.86,1105,2637.15,532.505,1105.98
19.5,2004.18,1077.86,1105,2636.88,532.734,1105.98
19.75,2004.18,1077.86,1105,2636.88,532.734,1105.98
20,2004.18,1077.86,1105,2636.62,532.963,1105.98
20.25,2004.18,1077.86,1105,2636.62,532.963,1105.98
20.5,2004.18,1077.86,1105,2636.35,533.192,1105.98
20.75,2004.18,1077.86,1105,2636.35,533.192,1105.98
21,2004.18,1077.86,1105,2636.09,533.42,1105.98
21.25,2004.18,1077.86,1105,2636.09,533.42,1105.98
