simtime, targetX, targetY,  targetZ, currentX, currentY, currentZ
0.25,2112.03,892.57,1119,2116.67,889.97,1119
0.5,2112.03,892.57,1119,2116.67,889.971,1119
0.75,2112.03,892.57,1119,2116.67,889.971,1119
1,2112.03,892.57,1119,2116.67,889.972,1119
1.25,2112.03,892.57,1119,2116.67,889.972,1119
1.5,2112.03,892.57,1119,2116.66,889.973,1119
1.75,2112.03,892.57,1119,2116.66,889.973,1119
2,2112.03,892.57,1119,2116.66,889.975,1119
2.25,2112.03,892.57,1119,2116.66,889.975,1119
2.5,2112.03,892.57,1119,2116.66,889.976,1119
2.75,2112.03,892.57,1119,2116.66,889.976,1119
3,2112.03,892.57,1119,2116.66,889.977,1119
3.25,2112.03,892.57,1119,2116.66,889.977,1119
3.5,2112.03,892.57,1119,2116.66,889.978,1119
3.75,2112.03,892.57,1119,2116.66,889.978,1119
4,2112.03,892.57,1119,2116.65,889.979,1119
4.25,2112.03,892.57,1119,2116.65,889.979,1119
4.5,2112.03,892.57,1119,2116.65,889.98,1119
4.75,2112.03,892.57,1119,2116.65,889.98,1119
5,2112.03,892.57,1119,2116.65,889.982,1119
5.25,2112.03,892.57,1119,2116.65,889.982,1119
5.5,2112.03,892.57,1119,2116.65,889.983,1119
5.75,2112.03,892.57,1119,2116.65,889.983,1119
6,2112.03,892.57,1119,2116.65,889.984,1119
6.25,2112.03,892.57,1119,2116.65,889.984,1119
6.5,2112.03,892.57,1119,2116.64,889.985,1119
6.75,2112.03,892.57,1119,2116.64,889.985,1119
7,2112.03,892.57,1119,2116.64,889.986,1119
7.25,2112.03,892.57,1119,2116.64,889.986,1119
7.5,2112.03,892.57,1119,2116.64,889.987,1119
7.75,2112.03,892.57,1119,2116.64,889.987,1119
8,2112.03,892.57,1119,2116.64,889.989,1119
8.25,2112.03,892.57,1119,2116.64,889.989,1119
8.5,2112.03,892.57,1119,2116.63,889.99,1119
8.75,2112.03,892.57,1119,2116.63,889.99,1119
9,2112.03,892.57,1119,2116.63,889.991,1119
9.25,2112.03,892.57,1119,2116.63,889.991,1119
9.5,2112.03,892.57,1119,2116.63,889.992,1119
9.75,2112.03,892.57,1119,2116.63,889.992,1119
10,2112.03,892.57,1119,2116.63,889.993,1119
10.25,2112.03,892.57,1119,2116.63,889.993,1119
10.5,2112.03,892.57,1119,2116.63,889.994,1119
10.75,2112.03,892.57,1119,2116.63,889.994,1119
11,2112.03,892.57,1119,2116.62,889.996,1119
11.25,2112.03,892.57,1119,2116.62,889.996,1119
11.5,2112.03,892.57,1119,2116.62,889.997,1119
11.75,2112.03,892.57,1119,2116.62,889.997,1119
12,2112.03,892.57,1119,2116.62,889.998,1119
12.25,2112.03,892.57,1119,2116.62,889.998,1119
12.5,2112.03,892.57,1119,2116.62,889.999,1119
12.75,2112.03,892.57,1119,2116.62,889.999,1119
13,2112.03,892.57,1119,2116.62,890,1119
13.25,2112.03,892.57,1119,2116.62,890,1119
13.5,2112.03,892.57,1119,2116.61,890.001,1119
13.75,2112.03,892.57,1119,2116.61,890.001,1119
14,2112.03,892.57,1119,2116.61,890.003,1119
14.25,2112.03,892.57,1119,2116.61,890.003,1119
14.5,2112.03,892.57,1119,2116.61,890.004,1119
14.75,2112.03,892.57,1119,2116.61,890.004,1119
15,2112.03,892.57,1119,2116.61,890.005,1119
15.25,2112.03,892.57,1119,2116.61,890.005,1119
15.5,2112.03,892.57,1119,2116.61,890.006,1119
15.75,2112.03,892.57,1119,2116.61,890.006,1119
16,2112.03,892.57,1119,2116.6,890.007,1119
16.25,2112.03,892.57,1119,2116.6,890.007,1119
16.5,2112.03,892.57,1119,2116.6,890.008,1119
16.75,2112.03,892.57,1119,2116.6,890.008,1119
17,2112.03,892.57,1119,2116.6,890.01,1119
17.25,2112.03,892.57,1119,2116.6,890.01,1119
17.5,2112.03,892.57,1119,2116.6,890.011,1119
17.75,2112.03,892.57,1119,2116.6,890.011,1119
18,2112.03,892.57,1119,2116.6,890.012,1119
18.25,2112.03,892.57,1119,2116.6,890.012,1119
18.5,2112.03,892.57,1119,2116.59,890.013,1119
